                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8829,                 5.1929,                 4.7176,                0.00093,                0.27885,                0.00071,                0.00027,                 2.3906,                 4.6767,                 4.1594,                      0,                      0,                      0
                      2,                 3.0331,                 5.0496,                 4.5773,                0.00134,                0.38324,                0.00163,                0.00056,                 2.3907,                 4.6767,                 4.1591,             1.6653e-05,             1.6653e-05,             1.6653e-05
                      3,                 3.0613,                 5.0923,                 4.5271,                0.00108,                0.31181,                 0.0009,                 0.0005,                 2.3907,                 4.6732,                 4.1589,             3.3274e-05,             3.3274e-05,             3.3274e-05
                      4,                 2.8577,                 5.0499,                 4.4362,                0.00093,                0.27885,                0.00082,                0.00044,                 2.3906,                  4.673,                 4.1589,             4.9861e-05,             4.9861e-05,             4.9861e-05
                      5,                 2.9876,                 5.0357,                  4.531,                0.00087,                0.25962,                0.00094,                0.00033,                 2.3906,                  4.673,                  4.159,             6.6416e-05,             6.6416e-05,             6.6416e-05
                      6,                 2.9888,                   5.24,                 4.6162,                0.00138,                 0.4011,                0.00179,                0.00054,                 2.3901,                 4.6715,                  4.159,             8.2937e-05,             8.2937e-05,             8.2937e-05
                      7,                 3.0896,                  5.344,                 4.5763,                0.00136,                 0.4011,                0.00489,                 0.0018,                 2.3901,                 4.6715,                  4.159,             9.9426e-05,             9.9426e-05,             9.9426e-05
                      8,                 2.9052,                 4.8862,                  4.443,                0.00121,                0.32967,                0.00097,                0.00039,                 2.3897,                 4.6714,                 4.1589,             0.00011588,             0.00011588,             0.00011588
                      9,                 2.7605,                 4.9866,                  4.459,                 0.0011,                0.31181,                 0.0012,                0.00045,                 2.3895,                 4.6714,                 4.1589,              0.0001323,              0.0001323,              0.0001323
                     10,                 2.9474,                 4.9102,                 4.3983,                0.00087,                0.25962,                0.00079,                0.00026,                 2.3894,                 4.6706,                 4.1585,             0.00014869,             0.00014869,             0.00014869
                     11,                 2.7378,                 5.1778,                 4.4343,                0.00087,                0.25962,                0.00086,                0.00032,                 2.3899,                 4.6709,                 4.1588,             0.00016505,             0.00016505,             0.00016505
                     12,                 2.8064,                 4.6991,                 4.4783,                0.00099,                 0.2967,                0.00097,                 0.0004,                 2.3902,                 4.6715,                 4.1582,             0.00018137,             0.00018137,             0.00018137
                     13,                 2.5919,                 4.6094,                 4.3282,                0.00089,                0.26374,                0.00112,                 0.0004,                  2.389,                 4.6734,                 4.1584,             0.00019766,             0.00019766,             0.00019766
                     14,                 2.8698,                 4.5289,                 4.2368,                0.00085,                0.26374,                0.00163,                0.00057,                 2.3893,                 4.6746,                 4.1584,             0.00021392,             0.00021392,             0.00021392
                     15,                 2.8082,                 4.4436,                   4.21,                0.00083,                0.24451,                0.00106,                0.00036,                  2.389,                 4.6749,                 4.1589,             0.00023015,             0.00023015,             0.00023015
                     16,                 2.7885,                 4.3521,                 4.2347,                0.00091,                0.26374,                0.00177,                0.00101,                  2.389,                 4.6788,                  4.159,             0.00024634,             0.00024634,             0.00024634
                     17,                 2.9291,                 4.3683,                 4.1984,                0.00086,                0.24451,                0.00163,                0.00095,                 2.3888,                 4.6789,                 4.1589,              0.0002625,              0.0002625,              0.0002625
                     18,                 3.0277,                 4.2586,                 4.1176,                0.00101,                0.28159,                0.00165,                0.00087,                 2.3886,                 4.6807,                 4.1596,             0.00027862,             0.00027862,             0.00027862
                     19,                 2.6033,                 3.9804,                  4.059,                0.00089,                0.26374,                0.00126,                0.00057,                 2.3877,                 4.6805,                 4.1602,             0.00029471,             0.00029471,             0.00029471
                     20,                 2.8013,                 4.0617,                 4.0926,                0.00095,                0.26236,                0.00743,                 0.0051,                 2.3874,                 4.6806,                 4.1601,             0.00031077,             0.00031077,             0.00031077
                     21,                 2.6875,                 3.6922,                 4.0196,                0.00096,                0.26236,                0.00162,                0.00076,                 2.3853,                 4.6819,                 4.1606,              0.0003268,              0.0003268,              0.0003268
                     22,                 2.9625,                 3.9395,                 4.0381,                0.00096,                0.26236,                0.00277,                0.00171,                 2.3845,                 4.6817,                 4.1612,             0.00034279,             0.00034279,             0.00034279
                     23,                 2.6396,                 3.9683,                 3.9629,                0.00096,                0.26236,                0.00155,                0.00065,                 2.3842,                  4.682,                 4.1619,             0.00035875,             0.00035875,             0.00035875
                     24,                 2.5226,                 3.6671,                  3.911,                0.00088,                0.26374,                0.00174,                0.00069,                 2.3839,                 4.6825,                 4.1624,             0.00037468,             0.00037468,             0.00037468
                     25,                 2.6675,                 3.8468,                 3.8888,                0.00089,                0.26236,                 0.0019,                0.00084,                 2.3843,                 4.6853,                 4.1634,             0.00039057,             0.00039057,             0.00039057
                     26,                 2.6873,                 3.7147,                 3.8425,                0.00072,                0.22527,                0.00689,                0.00313,                 2.3833,                 4.6855,                 4.1643,             0.00040644,             0.00040644,             0.00040644
                     27,                 2.5091,                 3.5769,                 3.8318,                0.00068,                0.20467,                0.00451,                0.00174,                  2.383,                 4.6882,                 4.1654,             0.00042226,             0.00042226,             0.00042226
                     28,                 2.5021,                 3.6936,                 3.7094,                0.00074,                 0.2239,                0.00641,                0.00259,                 2.3823,                 4.6881,                 4.1667,             0.00043806,             0.00043806,             0.00043806
                     29,                 2.6989,                 3.5259,                 3.8544,                0.00074,                 0.2239,                0.00567,                0.00239,                  2.382,                 4.6929,                 4.1683,             0.00045382,             0.00045382,             0.00045382
                     30,                 2.4809,                 3.3837,                 3.6648,                0.00074,                 0.2239,                0.00855,                0.00387,                 2.3803,                 4.6933,                 4.1697,             0.00046955,             0.00046955,             0.00046955
                     31,                 2.3614,                 3.4605,                 3.6254,                0.00067,                0.20604,                0.00484,                0.00182,                 2.3807,                 4.6958,                 4.1707,             0.00048525,             0.00048525,             0.00048525
                     32,                 2.2907,                 3.3053,                 3.5407,                0.00072,                0.22527,                0.00583,                0.00232,                 2.3796,                 4.6953,                 4.1717,             0.00050091,             0.00050091,             0.00050091
                     33,                 2.4831,                 3.2721,                 3.5903,                0.00061,                0.18681,                0.01118,                0.00391,                 2.3791,                  4.699,                  4.173,             0.00051654,             0.00051654,             0.00051654
                     34,                 2.2764,                 3.1933,                 3.4967,                0.00074,                 0.2239,                 0.0048,                0.00174,                 2.3798,                 4.6777,                 4.1737,             0.00053214,             0.00053214,             0.00053214
                     35,                 2.2047,                 3.0861,                 3.3736,                0.00079,                0.24313,                0.00447,                0.00164,                 2.3787,                 4.6766,                 4.1755,              0.0005477,              0.0005477,              0.0005477
                     36,                 2.1094,                 3.0025,                 3.3225,                0.00067,                0.20604,                0.00509,                0.00182,                 2.3787,                 4.6785,                 4.1768,             0.00056323,             0.00056323,             0.00056323
                     37,                 2.1932,                 3.0713,                 3.3753,                 0.0008,                0.24451,                0.00588,                  0.002,                  2.379,                 4.6792,                 4.1783,             0.00057873,             0.00057873,             0.00057873
                     38,                 2.0191,                 3.2653,                 3.1336,                 0.0009,                0.26236,                0.00887,                 0.0028,                 2.3786,                 4.6439,                  4.179,              0.0005942,              0.0005942,              0.0005942
                     39,                 1.9529,                 3.0816,                 3.1528,                 0.0008,                0.24451,                0.00967,                0.00503,                 2.3779,                 4.6363,                 4.1802,             0.00060963,             0.00060963,             0.00060963
                     40,                 1.9942,                 2.9116,                 3.1199,                0.00078,                0.24451,                 0.0221,                 0.0102,                 2.3776,                 4.6394,                 4.1828,             0.00062503,             0.00062503,             0.00062503
                     41,                 2.2214,                 2.8271,                 3.2409,                0.00074,                 0.2239,                0.00893,                0.00409,                 2.3745,                 4.6573,                 4.1846,             0.00064039,             0.00064039,             0.00064039
                     42,                 1.9499,                 2.9675,                 2.9086,                0.00074,                0.22253,                0.00193,                0.00062,                  2.374,                 4.7165,                 4.1868,             0.00065573,             0.00065573,             0.00065573
                     43,                 2.2089,                 3.0104,                 3.1433,                0.00081,                0.24038,                0.00886,                0.00414,                 2.3722,                 4.3897,                 4.1892,             0.00067103,             0.00067103,             0.00067103
                     44,                 1.8541,                 2.7345,                 2.8516,                0.00146,                0.45467,                  0.007,                0.00288,                  2.374,                 4.3607,                 4.1902,              0.0006863,              0.0006863,              0.0006863
                     45,                  1.749,                 2.6394,                 2.8196,                0.00088,                0.25962,                0.00765,                 0.0028,                 2.3741,                 4.3338,                 4.1927,             0.00070153,             0.00070153,             0.00070153
                     46,                 1.9093,                 2.6232,                 2.8029,                0.00147,                0.45467,                0.01039,                0.00312,                 2.3724,                 4.3006,                 4.1944,             0.00071673,             0.00071673,             0.00071673
                     47,                 1.9089,                 2.4695,                 2.8267,                0.00094,                0.27747,                0.02914,                0.01561,                 2.3658,                 4.3695,                 4.1947,              0.0007319,              0.0007319,              0.0007319
