Radius,X_Position,Y_Position,Area,Surface2d,Volume,image_path,mask_path,shape
26,216,360,2123,82,73585,../images_assorted/image_1.png,../masks_assorted/mask_1.png,circle
56,285,248,3136,224,175616,../images_assorted/image_2.png,../masks_assorted/mask_2.png,square
16,69,205,256,64,4096,../images_assorted/image_3.png,../masks_assorted/mask_3.png,square
105,336,270,34618,330,4846590,../images_assorted/image_4.png,../masks_assorted/mask_4.png,circle
99,182,295,4900,338,970299,../images_assorted/image_5.png,../masks_assorted/mask_5.png,triange
45,279,218,2025,180,91125,../images_assorted/image_6.png,../masks_assorted/mask_6.png,square
35,414,195,612,119,42875,../images_assorted/image_7.png,../masks_assorted/mask_7.png,triange
25,340,384,625,100,15625,../images_assorted/image_8.png,../masks_assorted/mask_8.png,square
37,233,242,684,126,50653,../images_assorted/image_9.png,../masks_assorted/mask_9.png,triange
44,97,364,968,150,85184,../images_assorted/image_10.png,../masks_assorted/mask_10.png,triange
32,418,190,3215,100,137189,../images_assorted/image_11.png,../masks_assorted/mask_11.png,circle
22,85,427,242,75,10648,../images_assorted/image_12.png,../masks_assorted/mask_12.png,triange
87,361,219,3784,297,658503,../images_assorted/image_13.png,../masks_assorted/mask_13.png,triange
103,289,410,10609,412,1092727,../images_assorted/image_14.png,../masks_assorted/mask_14.png,square
113,422,81,12769,452,1442897,../images_assorted/image_15.png,../masks_assorted/mask_15.png,square
80,83,124,6400,320,512000,../images_assorted/image_16.png,../masks_assorted/mask_16.png,square
101,189,113,32031,317,4313527,../images_assorted/image_17.png,../masks_assorted/mask_17.png,circle
20,133,415,1256,63,33493,../images_assorted/image_18.png,../masks_assorted/mask_18.png,circle
37,101,239,1369,148,50653,../images_assorted/image_19.png,../masks_assorted/mask_19.png,square
90,330,203,8100,360,729000,../images_assorted/image_20.png,../masks_assorted/mask_20.png,square
69,275,144,4761,276,328509,../images_assorted/image_21.png,../masks_assorted/mask_21.png,square
59,168,65,1740,201,205379,../images_assorted/image_22.png,../masks_assorted/mask_22.png,triange
41,251,67,5278,129,288549,../images_assorted/image_23.png,../masks_assorted/mask_23.png,circle
17,346,135,144,58,4913,../images_assorted/image_24.png,../masks_assorted/mask_24.png,triange
31,413,193,961,124,29791,../images_assorted/image_25.png,../masks_assorted/mask_25.png,square
64,207,127,12861,201,1097510,../images_assorted/image_26.png,../masks_assorted/mask_26.png,circle
70,97,215,4900,280,343000,../images_assorted/image_27.png,../masks_assorted/mask_27.png,square
51,72,179,8167,160,555366,../images_assorted/image_28.png,../masks_assorted/mask_28.png,circle
58,302,190,3364,232,195112,../images_assorted/image_29.png,../masks_assorted/mask_29.png,square
113,180,96,6384,386,1442897,../images_assorted/image_30.png,../masks_assorted/mask_30.png,triange
112,349,397,12544,448,1404928,../images_assorted/image_31.png,../masks_assorted/mask_31.png,square
53,282,145,2809,212,148877,../images_assorted/image_32.png,../masks_assorted/mask_32.png,square
40,426,214,800,137,64000,../images_assorted/image_33.png,../masks_assorted/mask_33.png,triange
67,291,264,14095,210,1259194,../images_assorted/image_34.png,../masks_assorted/mask_34.png,circle
32,231,302,3215,100,137189,../images_assorted/image_35.png,../masks_assorted/mask_35.png,circle
36,300,395,648,123,46656,../images_assorted/image_36.png,../masks_assorted/mask_36.png,triange
103,73,207,5304,352,1092727,../images_assorted/image_37.png,../masks_assorted/mask_37.png,triange
24,108,76,288,82,13824,../images_assorted/image_38.png,../masks_assorted/mask_38.png,triange
92,350,310,4232,314,778688,../images_assorted/image_39.png,../masks_assorted/mask_39.png,triange
118,304,148,6962,403,1643032,../images_assorted/image_40.png,../masks_assorted/mask_40.png,triange
18,122,154,324,72,5832,../images_assorted/image_41.png,../masks_assorted/mask_41.png,square
49,359,84,2401,196,117649,../images_assorted/image_42.png,../masks_assorted/mask_42.png,square
114,424,309,12996,456,1481544,../images_assorted/image_43.png,../masks_assorted/mask_43.png,square
28,360,322,784,112,21952,../images_assorted/image_44.png,../masks_assorted/mask_44.png,square
95,225,320,28338,298,3589543,../images_assorted/image_45.png,../masks_assorted/mask_45.png,circle
39,180,283,760,133,59319,../images_assorted/image_46.png,../masks_assorted/mask_46.png,triange
66,262,281,4356,264,287496,../images_assorted/image_47.png,../masks_assorted/mask_47.png,square
92,269,75,8464,368,778688,../images_assorted/image_48.png,../masks_assorted/mask_48.png,square
38,364,176,722,130,54872,../images_assorted/image_49.png,../masks_assorted/mask_49.png,triange
105,254,161,5512,358,1157625,../images_assorted/image_50.png,../masks_assorted/mask_50.png,triange
51,116,405,1300,174,132651,../images_assorted/image_51.png,../masks_assorted/mask_51.png,triange
107,311,331,35950,336,5128847,../images_assorted/image_52.png,../masks_assorted/mask_52.png,circle
67,429,310,14095,210,1259194,../images_assorted/image_53.png,../masks_assorted/mask_53.png,circle
62,276,121,1922,212,238328,../images_assorted/image_54.png,../masks_assorted/mask_54.png,triange
75,399,348,17662,236,1766250,../images_assorted/image_55.png,../masks_assorted/mask_55.png,circle
31,247,196,3018,97,124725,../images_assorted/image_56.png,../masks_assorted/mask_56.png,circle
85,342,201,22687,267,2571137,../images_assorted/image_57.png,../masks_assorted/mask_57.png,circle
53,102,149,8820,166,623298,../images_assorted/image_58.png,../masks_assorted/mask_58.png,circle
40,259,272,800,137,64000,../images_assorted/image_59.png,../masks_assorted/mask_59.png,triange
41,139,335,1681,164,68921,../images_assorted/image_60.png,../masks_assorted/mask_60.png,square
81,335,177,6561,324,531441,../images_assorted/image_61.png,../masks_assorted/mask_61.png,square
88,253,307,24316,276,2853096,../images_assorted/image_62.png,../masks_assorted/mask_62.png,circle
18,381,407,324,72,5832,../images_assorted/image_63.png,../masks_assorted/mask_63.png,square
24,434,417,1809,75,57876,../images_assorted/image_64.png,../masks_assorted/mask_64.png,circle
35,289,240,1225,140,42875,../images_assorted/image_65.png,../masks_assorted/mask_65.png,square
52,92,77,1352,178,140608,../images_assorted/image_66.png,../masks_assorted/mask_66.png,triange
23,255,224,1661,72,50939,../images_assorted/image_67.png,../masks_assorted/mask_67.png,circle
76,422,179,2888,259,438976,../images_assorted/image_68.png,../masks_assorted/mask_68.png,triange
36,251,340,1296,144,46656,../images_assorted/image_69.png,../masks_assorted/mask_69.png,square
19,204,124,361,76,6859,../images_assorted/image_70.png,../masks_assorted/mask_70.png,square
67,286,415,14095,210,1259194,../images_assorted/image_71.png,../masks_assorted/mask_71.png,circle
15,191,220,112,51,3375,../images_assorted/image_72.png,../masks_assorted/mask_72.png,triange
37,251,312,684,126,50653,../images_assorted/image_73.png,../masks_assorted/mask_73.png,triange
34,170,345,3630,107,164553,../images_assorted/image_74.png,../masks_assorted/mask_74.png,circle
27,88,303,729,108,19683,../images_assorted/image_75.png,../masks_assorted/mask_75.png,square
109,448,80,11881,436,1295029,../images_assorted/image_76.png,../masks_assorted/mask_76.png,square
91,398,421,8281,364,753571,../images_assorted/image_77.png,../masks_assorted/mask_77.png,square
84,192,207,22156,264,2481454,../images_assorted/image_78.png,../masks_assorted/mask_78.png,circle
61,245,143,3721,244,226981,../images_assorted/image_79.png,../masks_assorted/mask_79.png,square
63,422,396,3969,252,250047,../images_assorted/image_80.png,../masks_assorted/mask_80.png,square
30,163,113,900,120,27000,../images_assorted/image_81.png,../masks_assorted/mask_81.png,square
50,313,94,2500,200,125000,../images_assorted/image_82.png,../masks_assorted/mask_82.png,square
16,343,84,128,55,4096,../images_assorted/image_83.png,../masks_assorted/mask_83.png,triange
74,216,383,17195,232,1696538,../images_assorted/image_84.png,../masks_assorted/mask_84.png,circle
49,143,88,2401,196,117649,../images_assorted/image_85.png,../masks_assorted/mask_85.png,square
73,176,164,5329,292,389017,../images_assorted/image_86.png,../masks_assorted/mask_86.png,square
28,342,429,2462,88,91906,../images_assorted/image_87.png,../masks_assorted/mask_87.png,circle
18,73,349,324,72,5832,../images_assorted/image_88.png,../masks_assorted/mask_88.png,square
85,427,196,22687,267,2571137,../images_assorted/image_89.png,../masks_assorted/mask_89.png,circle
55,147,191,1512,188,166375,../images_assorted/image_90.png,../masks_assorted/mask_90.png,triange
76,198,68,18137,239,1837846,../images_assorted/image_91.png,../masks_assorted/mask_91.png,circle
63,343,109,3969,252,250047,../images_assorted/image_92.png,../masks_assorted/mask_92.png,square
109,446,298,5940,372,1295029,../images_assorted/image_93.png,../masks_assorted/mask_93.png,triange
91,306,69,4140,311,753571,../images_assorted/image_94.png,../masks_assorted/mask_94.png,triange
92,209,327,26577,289,3260107,../images_assorted/image_95.png,../masks_assorted/mask_95.png,circle
60,67,321,11304,188,904320,../images_assorted/image_96.png,../masks_assorted/mask_96.png,circle
33,361,305,3419,104,150456,../images_assorted/image_97.png,../masks_assorted/mask_97.png,circle
109,192,417,11881,436,1295029,../images_assorted/image_98.png,../masks_assorted/mask_98.png,square
72,255,240,5184,288,373248,../images_assorted/image_99.png,../masks_assorted/mask_99.png,square
23,412,417,1661,72,50939,../images_assorted/image_100.png,../masks_assorted/mask_100.png,circle
16,124,239,256,64,4096,../images_assorted/image_101.png,../masks_assorted/mask_101.png,square
51,286,105,8167,160,555366,../images_assorted/image_102.png,../masks_assorted/mask_102.png,circle
72,337,115,5184,288,373248,../images_assorted/image_103.png,../masks_assorted/mask_103.png,square
39,343,270,4776,122,248349,../images_assorted/image_104.png,../masks_assorted/mask_104.png,circle
69,111,397,14950,217,1375358,../images_assorted/image_105.png,../masks_assorted/mask_105.png,circle
83,116,134,21631,261,2393882,../images_assorted/image_106.png,../masks_assorted/mask_106.png,circle
65,124,294,2112,222,274625,../images_assorted/image_107.png,../masks_assorted/mask_107.png,triange
